Trigger.started,Trigger.stopped,key_resp_4.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,Session,Subject,date,expName,psychopyVersion,OS,frameRate,complex_block.started,complex_block.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,complex_block_loop.thisRepN,complex_block_loop.thisTrialN,complex_block_loop.thisN,complex_block_loop.thisIndex,complex_block_loop.ran,trial,finger,markerPos,correctResp,new_block_loop.thisRepN,new_block_loop.thisTrialN,new_block_loop.thisN,new_block_loop.thisIndex,new_block_loop.ran,endBuffer.started,endBuffer.stopped
0,10.297,,-0.05,-0.301388889,1,0,0,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,10.309,11.402,2,1,1.088,,0,0,0,0,1,1,M,,2,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,11.402,12.062,3,1,0.658,,0,1,1,1,1,2,R,,3,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,12.062,12.778,2,1,0.711,,0,2,2,2,1,3,M,,2,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,12.778,13.374,3,1,0.593,,0,3,3,3,1,4,R,,3,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,13.375,13.993,1,1,0.614,,0,4,4,4,1,5,I,,1,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,13.993,14.597,1,1,0.6,,0,5,5,5,1,6,I,,1,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,14.597,15.096,2,0,0.499,,0,6,6,6,1,7,R,,3,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,15.096,16.18,2,1,1.081,,0,7,7,7,1,8,M,,2,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,16.18,17.339,4,1,1.157,,0,8,8,8,1,9,L,,4,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,17.34,17.923,1,1,0.58,,0,9,9,9,1,10,I,,1,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,17.923,18.534,2,1,0.608,,1,0,10,0,1,1,M,,2,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,18.535,19.076,3,1,0.538,,1,1,11,1,1,2,R,,3,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,19.077,19.749,2,1,0.669,,1,2,12,2,1,3,M,,2,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,19.749,20.339,3,1,0.589,,1,3,13,3,1,4,R,,3,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,20.34,20.881,1,1,0.538,,1,4,14,4,1,5,I,,1,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,20.881,21.416,1,1,0.532,,1,5,15,5,1,6,I,,1,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,21.416,22.111,3,1,0.69,,1,6,16,6,1,7,R,,3,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,22.111,22.874,2,1,0.76,,1,7,17,7,1,8,M,,2,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,22.874,23.437,1,0,0.562,,1,8,18,8,1,9,L,,4,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,23.437,24.193,1,1,0.754,,1,9,19,9,1,10,I,,1,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,24.193,24.833,2,1,0.637,,2,0,20,0,1,1,M,,2,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,24.833,25.416,3,1,0.581,,2,1,21,1,1,2,R,,3,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,25.416,25.992,2,1,0.573,,2,2,22,2,1,3,M,,2,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,25.992,26.61,3,1,0.615,,2,3,23,3,1,4,R,,3,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,26.61,27.263,1,1,0.649,,2,4,24,4,1,5,I,,1,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,27.263,27.784,1,1,0.519,,2,5,25,5,1,6,I,,1,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,27.784,28.444,3,1,0.655,,2,6,26,6,1,7,R,,3,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,28.444,28.986,2,1,0.54,,2,7,27,7,1,8,M,,2,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,28.986,29.561,4,1,0.573,,2,8,28,8,1,9,L,,4,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,29.561,30.395,1,1,0.829,,2,9,29,9,1,10,I,,1,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,30.396,30.86,2,1,0.461,,3,0,30,0,1,1,M,,2,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,30.86,31.374,3,1,0.511,,3,1,31,1,1,2,R,,3,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,31.374,31.93,2,1,0.551,,3,2,32,2,1,3,M,,2,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,31.932,32.513,3,1,0.579,,3,3,33,3,1,4,R,,3,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,32.514,33.103,1,1,0.588,,3,4,34,4,1,5,I,,1,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,33.103,33.625,1,1,0.52,,3,5,35,5,1,6,I,,1,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,33.625,34.375,3,1,0.746,,3,6,36,6,1,7,R,,3,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,34.375,34.86,2,1,0.484,,3,7,37,7,1,8,M,,2,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,34.861,35.492,4,1,0.628,,3,8,38,8,1,9,L,,4,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,35.493,36.048,1,1,0.552,,3,9,39,9,1,10,I,,1,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,36.049,36.569,2,1,0.517,,4,0,40,0,1,1,M,,2,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,36.569,37.075,3,1,0.503,,4,1,41,1,1,2,R,,3,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,37.076,37.916,2,1,0.837,,4,2,42,2,1,3,M,,2,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,37.916,38.353,3,1,0.436,,4,3,43,3,1,4,R,,3,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,38.353,38.999,1,1,0.644,,4,4,44,4,1,5,I,,1,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,39,39.521,1,1,0.52,,4,5,45,5,1,6,I,,1,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,39.521,40.166,3,1,0.644,,4,6,46,6,1,7,R,,3,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,40.167,40.68,2,1,0.511,,4,7,47,7,1,8,M,,2,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,40.68,41.256,4,1,0.573,,4,8,48,8,1,9,L,,4,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,41.256,41.839,1,1,0.582,,4,9,49,9,1,10,I,,1,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,41.84,42.395,2,1,0.552,,5,0,50,0,1,1,M,,2,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,42.396,42.896,3,1,0.497,,5,1,51,1,1,2,R,,3,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,42.896,43.638,2,1,0.739,,5,2,52,2,1,3,M,,2,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,43.638,44.076,3,1,0.434,,5,3,53,3,1,4,R,,3,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,44.076,44.535,1,1,0.455,,5,4,54,4,1,5,I,,1,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,44.535,45.048,1,1,0.511,,5,5,55,5,1,6,I,,1,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,45.048,45.68,3,1,0.629,,5,6,56,6,1,7,R,,3,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,45.68,46.208,2,1,0.525,,5,7,57,7,1,8,M,,2,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,46.208,46.86,4,1,0.65,,5,8,58,8,1,9,L,,4,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,46.86,47.409,1,1,0.546,,5,9,59,9,1,10,I,,1,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,47.409,47.937,2,1,0.525,,6,0,60,0,1,1,M,,2,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,47.937,48.436,3,1,0.496,,6,1,61,1,1,2,R,,3,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,48.437,48.972,2,1,0.532,,6,2,62,2,1,3,M,,2,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,48.972,49.645,3,1,0.671,,6,3,63,3,1,4,R,,3,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,49.645,50.124,1,1,0.477,,6,4,64,4,1,5,I,,1,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,50.124,50.604,1,1,0.477,,6,5,65,5,1,6,I,,1,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,50.604,51.277,3,1,0.673,,6,6,66,6,1,7,R,,3,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,51.277,51.735,2,1,0.455,,6,7,67,7,1,8,M,,2,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,51.735,52.298,4,1,0.561,,6,8,68,8,1,9,L,,4,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,52.298,52.812,1,1,0.51,,6,9,69,9,1,10,I,,1,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,52.812,53.222,2,1,0.409,,7,0,70,0,1,1,M,,2,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,53.222,53.693,3,1,0.471,,7,1,71,1,1,2,R,,3,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,53.693,54.228,2,1,0.532,,7,2,72,2,1,3,M,,2,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,54.229,54.7,3,1,0.469,,7,3,73,3,1,4,R,,3,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,54.7,55.201,1,1,0.497,,7,4,74,4,1,5,I,,1,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,55.201,55.721,1,1,0.519,,7,5,75,5,1,6,I,,1,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,55.722,56.215,3,1,0.49,,7,6,76,6,1,7,R,,3,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,56.215,56.68,2,1,0.462,,7,7,77,7,1,8,M,,2,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,56.68,57.208,4,1,0.525,,7,8,78,8,1,9,L,,4,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,57.208,57.687,1,1,0.475,,7,9,79,9,1,10,I,,1,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,57.687,58.145,2,1,0.453,,8,0,80,0,1,1,M,,2,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,58.145,58.672,3,1,0.524,,8,1,81,1,1,2,R,,3,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,58.673,59.145,1,0,0.47,,8,2,82,2,1,3,M,,2,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,59.145,60.075,3,1,0.927,,8,3,83,3,1,4,R,,3,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,60.075,60.735,1,1,0.657,,8,4,84,4,1,5,I,,1,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,60.735,61.228,1,1,0.492,,8,5,85,5,1,6,I,,1,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,61.229,61.699,3,1,0.469,,8,6,86,6,1,7,R,,3,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,61.699,62.193,2,1,0.492,,8,7,87,7,1,8,M,,2,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,62.194,62.68,3,0,0.483,,8,8,88,8,1,9,L,,4,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,62.68,62.84,4,0,0.157,,8,9,89,9,1,10,I,,1,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,62.84,63.93,2,1,1.087,,9,0,90,0,1,1,M,,2,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,63.93,64.457,3,1,0.525,,9,1,91,1,1,2,R,,3,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,64.457,64.965,2,1,0.504,,9,2,92,2,1,3,M,,2,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,64.965,65.45,3,1,0.484,,9,3,93,3,1,4,R,,3,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,65.451,66.042,1,1,0.589,,9,4,94,4,1,5,I,,1,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,66.043,66.555,1,1,0.51,,9,5,95,5,1,6,I,,1,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,66.556,67.117,3,1,0.558,,9,6,96,6,1,7,R,,3,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,67.118,67.618,2,1,0.496,,9,7,97,7,1,8,M,,2,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,67.618,68.214,4,1,0.594,,9,8,98,8,1,9,L,,4,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,68.215,69.013,1,1,0.795,,9,9,99,9,1,10,I,,1,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,69.013,69.465,2,1,0.448,,10,0,100,0,1,1,M,,2,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,69.465,69.943,3,1,0.477,,10,1,101,1,1,2,R,,3,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,69.944,70.472,2,1,0.525,,10,2,102,2,1,3,M,,2,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,70.473,70.978,3,1,0.504,,10,3,103,3,1,4,R,,3,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,70.979,71.673,1,1,0.691,,10,4,104,4,1,5,I,,1,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,71.674,72.138,1,1,0.461,,10,5,105,5,1,6,I,,1,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,72.139,72.694,3,1,0.552,,10,6,106,6,1,7,R,,3,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,72.694,73.173,2,1,0.478,,10,7,107,7,1,8,M,,2,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,73.173,73.736,4,1,0.56,,10,8,108,8,1,9,L,,4,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,73.736,74.242,1,1,0.504,,10,9,109,9,1,10,I,,1,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,74.242,74.708,2,1,0.463,,11,0,110,0,1,1,M,,2,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,74.708,75.173,3,1,0.461,,11,1,111,1,1,2,R,,3,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,75.173,75.631,1,0,0.455,,11,2,112,2,1,3,M,,2,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,75.632,76.562,3,1,0.927,,11,3,113,3,1,4,R,,3,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,76.563,77.221,1,1,0.655,,11,4,114,4,1,5,I,,1,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,77.222,77.665,1,1,0.443,,11,5,115,5,1,6,I,,1,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,77.666,78.242,3,1,0.576,,11,6,116,6,1,7,R,,3,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,78.242,78.729,2,1,0.483,,11,7,117,7,1,8,M,,2,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,78.729,79.298,4,1,0.566,,11,8,118,8,1,9,L,,4,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,79.298,79.77,1,1,0.472,,11,9,119,9,1,10,I,,1,,,,,,,
,,,,,,,,1,IK,2023-09-27_15h43.37.219,Motor_Task,2023.2.2,Win32,144.092219,79.77,80.36,2,1,0.588,,12,0,120,0,1,1,M,,2,,,,,,,
