Trigger.started,Trigger.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,Session,Subject,date,expName,psychopyVersion,OS,frameRate,complex_block.started,complex_block.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,complex_block_loop.thisRepN,complex_block_loop.thisTrialN,complex_block_loop.thisN,complex_block_loop.thisIndex,complex_block_loop.ran,trial,finger,markerPos,correctResp,new_block_loop.thisRepN,new_block_loop.thisTrialN,new_block_loop.thisN,new_block_loop.thisIndex,new_block_loop.ran,endBuffer.started,endBuffer.stopped
1E-04,30.2333,2,30.2085,,-0.174097222,-0.377773437,0,0,0,1,Ilan Ladabaum,2023-09-27_15h43.04.417,Motor_Task,2023.2.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,Ilan Ladabaum,2023-09-27_15h43.04.417,Motor_Task,2023.2.2,MacIntel,60.0024001,30.2569,31.0704,2,1,0.8061,,0,0,0,0,1,1,M,,2,,,,,,,
,,,,,,,,,,1,Ilan Ladabaum,2023-09-27_15h43.04.417,Motor_Task,2023.2.2,MacIntel,60.0024001,31.0713,31.636,3,1,0.5537,,0,1,1,1,1,2,R,,3,,,,,,,
,,,,,,,,,,1,Ilan Ladabaum,2023-09-27_15h43.04.417,Motor_Task,2023.2.2,MacIntel,60.0024001,31.6368,32.2007,2,1,0.5548,,0,2,2,2,1,3,M,,2,,,,,,,
,,,,,,,,,,1,Ilan Ladabaum,2023-09-27_15h43.04.417,Motor_Task,2023.2.2,MacIntel,60.0024001,32.2014,32.7512,2,0,0.5396,,0,3,3,3,1,4,R,,3,,,,,,,
,,,,,,,,,,1,Ilan Ladabaum,2023-09-27_15h43.04.417,Motor_Task,2023.2.2,MacIntel,60.0024001,32.7517,33.4056,1,1,0.6392,,0,4,4,4,1,5,I,,1,,,,,,,
,,,,,,,,,,1,Ilan Ladabaum,2023-09-27_15h43.04.417,Motor_Task,2023.2.2,MacIntel,60.0024001,33.4064,33.9863,1,1,0.5712,,0,5,5,5,1,6,I,,1,,,,,,,
,,,,,,,,,,1,Ilan Ladabaum,2023-09-27_15h43.04.417,Motor_Task,2023.2.2,MacIntel,60.0024001,33.9869,34.5185,3,1,0.524,,0,6,6,6,1,7,R,,3,,,,,,,
,,,,,,,,,,1,Ilan Ladabaum,2023-09-27_15h43.04.417,Motor_Task,2023.2.2,MacIntel,60.0024001,34.519,35.0696,2,1,0.5453,,0,7,7,7,1,8,M,,2,,,,,,,
,,,,,,,,,,1,Ilan Ladabaum,2023-09-27_15h43.04.417,Motor_Task,2023.2.2,MacIntel,60.0024001,35.0705,35.6852,4,1,0.6111,,0,8,8,8,1,9,L,,4,,,,,,,
,,,,,,,,,,1,Ilan Ladabaum,2023-09-27_15h43.04.417,Motor_Task,2023.2.2,MacIntel,60.0024001,35.6858,36.2871,1,1,0.5866,,0,9,9,9,1,10,I,,1,,,,,,,
,,,,,,,,,,1,Ilan Ladabaum,2023-09-27_15h43.04.417,Motor_Task,2023.2.2,MacIntel,60.0024001,36.2878,36.852,2,1,0.5541,,1,0,10,0,1,1,M,,2,,,,,,,
,,,,,,,,,,1,Ilan Ladabaum,2023-09-27_15h43.04.417,Motor_Task,2023.2.2,MacIntel,60.0024001,36.8526,37.3857,3,1,0.5292,,1,1,11,1,1,2,R,,3,,,,,,,
,,,,,,,,,,1,Ilan Ladabaum,2023-09-27_15h43.04.417,Motor_Task,2023.2.2,MacIntel,60.0024001,37.3863,37.9518,2,1,0.555,,1,2,12,2,1,3,M,,2,,,,,,,
,,,,,,,,,,1,Ilan Ladabaum,2023-09-27_15h43.04.417,Motor_Task,2023.2.2,MacIntel,60.0024001,37.9523,38.4841,3,1,0.522,,1,3,13,3,1,4,R,,3,,,,,,,
,,,,,,,,,,1,Ilan Ladabaum,2023-09-27_15h43.04.417,Motor_Task,2023.2.2,MacIntel,60.0024001,38.4851,39.0359,1,1,0.544,,1,4,14,4,1,5,I,,1,,,,,,,
,,,,,,,,,,1,Ilan Ladabaum,2023-09-27_15h43.04.417,Motor_Task,2023.2.2,MacIntel,60.0024001,39.0365,39.6161,1,1,0.568,,1,5,15,5,1,6,I,,1,,,,,,,
