Trigger.started,Trigger.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,Session,Subject,date,expName,psychopyVersion,OS,frameRate,complex_block.started,complex_block.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,complex_block_loop.thisRepN,complex_block_loop.thisTrialN,complex_block_loop.thisN,complex_block_loop.thisIndex,complex_block_loop.ran,trial,finger,markerPos,correctResp,new_block_loop.thisRepN,new_block_loop.thisTrialN,new_block_loop.thisN,new_block_loop.thisIndex,new_block_loop.ran,endBuffer.started,endBuffer.stopped
0.0001,5.2393,1,5.2255,,-0.16224949,-0.328859545,0,0,0,1,JDY,2023-09-24_10h08.29.593,Motor_Task,2023.2.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,JDY,2023-09-24_10h08.29.593,Motor_Task,2023.2.2,MacIntel,60.0024001,5.2615,5.9902,2,1,0.7182,,0,0,0,0,1,1,M,,2,,,,,,,
,,,,,,,,,,1,JDY,2023-09-24_10h08.29.593,Motor_Task,2023.2.2,MacIntel,60.0024001,5.991,6.823,3,1,0.8301,,0,1,1,1,1,2,R,,3,,,,,,,
,,,,,,,,,,1,JDY,2023-09-24_10h08.29.593,Motor_Task,2023.2.2,MacIntel,60.0024001,6.8236,7.3713,2,1,0.5429,,0,2,2,2,1,3,M,,2,,,,,,,
,,,,,,,,,,1,JDY,2023-09-24_10h08.29.593,Motor_Task,2023.2.2,MacIntel,60.0024001,7.372,7.8578,3,1,0.4744,,0,3,3,3,1,4,R,,3,,,,,,,
,,,,,,,,,,1,JDY,2023-09-24_10h08.29.593,Motor_Task,2023.2.2,MacIntel,60.0024001,7.86,8.4214,1,1,0.5591,,0,4,4,4,1,5,I,,1,,,,,,,
,,,,,,,,,,1,JDY,2023-09-24_10h08.29.593,Motor_Task,2023.2.2,MacIntel,60.0024001,8.4218,9.1062,1,1,0.6722,,0,5,5,5,1,6,I,,1,,,,,,,
,,,,,,,,,,1,JDY,2023-09-24_10h08.29.593,Motor_Task,2023.2.2,MacIntel,60.0024001,9.1068,9.6404,3,1,0.5237,,0,6,6,6,1,7,R,,3,,,,,,,
,,,,,,,,,,1,JDY,2023-09-24_10h08.29.593,Motor_Task,2023.2.2,MacIntel,60.0024001,9.641,10.2057,2,1,0.5539,,0,7,7,7,1,8,M,,2,,,,,,,
,,,,,,,,,,1,JDY,2023-09-24_10h08.29.593,Motor_Task,2023.2.2,MacIntel,60.0024001,10.2063,11.2892,4,1,1.0735,,0,8,8,8,1,9,L,,4,,,,,,,
,,,,,,,,,,1,JDY,2023-09-24_10h08.29.593,Motor_Task,2023.2.2,MacIntel,60.0024001,11.2898,12.0238,1,1,0.7237,,0,9,9,9,1,10,I,,1,,,,,,,
,,,,,,,,,,1,JDY,2023-09-24_10h08.29.593,Motor_Task,2023.2.2,MacIntel,60.0024001,12.0243,12.6709,2,1,0.6383,,1,0,10,0,1,1,M,,2,,,,,,,
,,,,,,,,,,1,JDY,2023-09-24_10h08.29.593,Motor_Task,2023.2.2,MacIntel,60.0024001,12.6714,13.2076,3,1,0.5254,,1,1,11,1,1,2,R,,3,,,,,,,
,,,,,,,,,,1,JDY,2023-09-24_10h08.29.593,Motor_Task,2023.2.2,MacIntel,60.0024001,13.2083,13.907,2,1,0.6888,,1,2,12,2,1,3,M,,2,,,,,,,
,,,,,,,,,,1,JDY,2023-09-24_10h08.29.593,Motor_Task,2023.2.2,MacIntel,60.0024001,13.9076,14.3898,3,1,0.4742,,1,3,13,3,1,4,R,,3,,,,,,,
,,,,,,,,,,1,JDY,2023-09-24_10h08.29.593,Motor_Task,2023.2.2,MacIntel,60.0024001,14.3903,15.0073,1,1,0.6069,,1,4,14,4,1,5,I,,1,,,,,,,
,,,,,,,,,,1,JDY,2023-09-24_10h08.29.593,Motor_Task,2023.2.2,MacIntel,60.0024001,15.0079,15.624,1,1,0.6039,,1,5,15,5,1,6,I,,1,,,,,,,
,,,,,,,,,,1,JDY,2023-09-24_10h08.29.593,Motor_Task,2023.2.2,MacIntel,60.0024001,15.6246,16.1548,3,1,0.5214,,1,6,16,6,1,7,R,,3,,,,,,,
,,,,,,,,,,1,JDY,2023-09-24_10h08.29.593,Motor_Task,2023.2.2,MacIntel,60.0024001,16.1553,16.7711,2,1,0.6082,,1,7,17,7,1,8,M,,2,,,,,,,
,,,,,,,,,,1,JDY,2023-09-24_10h08.29.593,Motor_Task,2023.2.2,MacIntel,60.0024001,16.7717,17.8877,4,1,1.1084,,1,8,18,8,1,9,L,,4,,,,,,,
,,,,,,,,,,1,JDY,2023-09-24_10h08.29.593,Motor_Task,2023.2.2,MacIntel,60.0024001,17.8882,18.5573,1,1,0.6586,,1,9,19,9,1,10,I,,1,,,,,,,
,,,,,,,,,,1,JDY,2023-09-24_10h08.29.593,Motor_Task,2023.2.2,MacIntel,60.0024001,18.5581,19.071,2,1,0.504,,2,0,20,0,1,1,M,,2,,,,,,,
,,,,,,,,,,1,JDY,2023-09-24_10h08.29.593,Motor_Task,2023.2.2,MacIntel,60.0024001,19.0717,19.5709,3,1,0.4906,,2,1,21,1,1,2,R,,3,,,,,,,
,,,,,,,,,,1,JDY,2023-09-24_10h08.29.593,Motor_Task,2023.2.2,MacIntel,60.0024001,19.5713,20.1377,2,1,0.5621,,2,2,22,2,1,3,M,,2,,,,,,,
,,,,,,,,,,1,JDY,2023-09-24_10h08.29.593,Motor_Task,2023.2.2,MacIntel,60.0024001,20.1384,20.7043,3,1,0.557,,2,3,23,3,1,4,R,,3,,,,,,,
,,,,,,,,,,1,JDY,2023-09-24_10h08.29.593,Motor_Task,2023.2.2,MacIntel,60.0024001,20.7048,21.2575,1,1,0.5415,,2,4,24,4,1,5,I,,1,,,,,,,
,,,,,,,,,,1,JDY,2023-09-24_10h08.29.593,Motor_Task,2023.2.2,MacIntel,60.0024001,21.2581,21.8394,1,1,0.5752,,2,5,25,5,1,6,I,,1,,,,,,,
,,,,,,,,,,1,JDY,2023-09-24_10h08.29.593,Motor_Task,2023.2.2,MacIntel,60.0024001,21.84,22.3546,3,1,0.5114,,2,6,26,6,1,7,R,,3,,,,,,,
,,,,,,,,,,1,JDY,2023-09-24_10h08.29.593,Motor_Task,2023.2.2,MacIntel,60.0024001,22.3554,22.8576,2,1,0.4971,,2,7,27,7,1,8,M,,2,,,,,,,
,,,,,,,,,,1,JDY,2023-09-24_10h08.29.593,Motor_Task,2023.2.2,MacIntel,60.0024001,22.8588,23.5229,4,1,0.6541,,2,8,28,8,1,9,L,,4,,,,,,,
,,,,,,,,,,1,JDY,2023-09-24_10h08.29.593,Motor_Task,2023.2.2,MacIntel,60.0024001,23.5236,24.1568,1,1,0.6217,,2,9,29,9,1,10,I,,1,,,,,,,
,,,,,,,,,,1,JDY,2023-09-24_10h08.29.593,Motor_Task,2023.2.2,MacIntel,60.0024001,24.1574,24.6405,2,1,0.4743,,3,0,30,0,1,1,M,,2,,,,,,,
,,,,,,,,,,1,JDY,2023-09-24_10h08.29.593,Motor_Task,2023.2.2,MacIntel,60.0024001,24.641,25.1408,3,1,0.4994,,3,1,31,1,1,2,R,,3,,,,,,,
,,,,,,,,,,1,JDY,2023-09-24_10h08.29.593,Motor_Task,2023.2.2,MacIntel,60.0024001,25.1411,25.7063,2,1,0.5556,,3,2,32,2,1,3,M,,2,,,,,,,
,,,,,,,,,,1,JDY,2023-09-24_10h08.29.593,Motor_Task,2023.2.2,MacIntel,60.0024001,25.7069,26.1729,3,1,0.4554,,3,3,33,3,1,4,R,,3,,,,,,,
,,,,,,,,,,1,JDY,2023-09-24_10h08.29.593,Motor_Task,2023.2.2,MacIntel,60.0024001,26.1733,26.6736,1,1,0.4902,,3,4,34,4,1,5,I,,1,,,,,,,
,,,,,,,,,,1,JDY,2023-09-24_10h08.29.593,Motor_Task,2023.2.2,MacIntel,60.0024001,26.6741,27.1572,1,1,0.4769,,3,5,35,5,1,6,I,,1,,,,,,,
,,,,,,,,,,1,JDY,2023-09-24_10h08.29.593,Motor_Task,2023.2.2,MacIntel,60.0024001,27.1577,27.7046,3,1,0.5462,,3,6,36,6,1,7,R,,3,,,,,,,
,,,,,,,,,,1,JDY,2023-09-24_10h08.29.593,Motor_Task,2023.2.2,MacIntel,60.0024001,27.7051,28.2236,2,1,0.5081,,3,7,37,7,1,8,M,,2,,,,,,,
,,,,,,,,,,1,JDY,2023-09-24_10h08.29.593,Motor_Task,2023.2.2,MacIntel,60.0024001,28.2241,29.0722,4,1,0.844,,3,8,38,8,1,9,L,,4,,,,,,,
,,,,,,,,,,1,JDY,2023-09-24_10h08.29.593,Motor_Task,2023.2.2,MacIntel,60.0024001,29.0728,29.6411,1,1,0.559,,3,9,39,9,1,10,I,,1,,,,,,,
,,,,,,,,,,1,JDY,2023-09-24_10h08.29.593,Motor_Task,2023.2.2,MacIntel,60.0024001,29.6418,30.1733,2,1,0.5211,,4,0,40,0,1,1,M,,2,,,,,,,
,,,,,,,,,,1,JDY,2023-09-24_10h08.29.593,Motor_Task,2023.2.2,MacIntel,60.0024001,30.1739,30.6744,3,1,0.4877,,4,1,41,1,1,2,R,,3,,,,,,,
,,,,,,,,,,1,JDY,2023-09-24_10h08.29.593,Motor_Task,2023.2.2,MacIntel,60.0024001,30.6748,31.3076,2,1,0.6273,,4,2,42,2,1,3,M,,2,,,,,,,
