Trigger.started,Trigger.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,Session,Subject,date,expName,psychopyVersion,OS,frameRate,complex_block.started,complex_block.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,complex_block_loop.thisRepN,complex_block_loop.thisTrialN,complex_block_loop.thisN,complex_block_loop.thisIndex,complex_block_loop.ran,trial,finger,markerPos,correctResp,new_block_loop.thisRepN,new_block_loop.thisTrialN,new_block_loop.thisN,new_block_loop.thisIndex,new_block_loop.ran,endBuffer.started,endBuffer.stopped
0,15.188,space,15.14,,-0.097200622,-0.252721617,0,0,0,1,LT,2023-09-27_15h43.46.109,Motor_Task,2023.2.2,MacIntel,30.3030303,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,LT,2023-09-27_15h43.46.109,Motor_Task,2023.2.2,MacIntel,30.3030303,15.201,17.954,2,1,2.733,,0,0,0,0,1,1,M,,2,,,,,,,
,,,,,,,,,,1,LT,2023-09-27_15h43.46.109,Motor_Task,2023.2.2,MacIntel,30.3030303,17.955,19.887,3,1,1.903,,0,1,1,1,1,2,R,,3,,,,,,,
,,,,,,,,,,1,LT,2023-09-27_15h43.46.109,Motor_Task,2023.2.2,MacIntel,30.3030303,19.888,20.687,2,1,0.782,,0,2,2,2,1,3,M,,2,,,,,,,
,,,,,,,,,,1,LT,2023-09-27_15h43.46.109,Motor_Task,2023.2.2,MacIntel,30.3030303,20.687,21.487,2,0,0.789,,0,3,3,3,1,4,R,,3,,,,,,,
,,,,,,,,,,1,LT,2023-09-27_15h43.46.109,Motor_Task,2023.2.2,MacIntel,30.3030303,21.487,22.287,1,1,0.795,,0,4,4,4,1,5,I,,1,,,,,,,
,,,,,,,,,,1,LT,2023-09-27_15h43.46.109,Motor_Task,2023.2.2,MacIntel,30.3030303,22.287,22.954,1,1,0.663,,0,5,5,5,1,6,I,,1,,,,,,,
,,,,,,,,,,1,LT,2023-09-27_15h43.46.109,Motor_Task,2023.2.2,MacIntel,30.3030303,22.954,23.721,3,1,0.75,,0,6,6,6,1,7,R,,3,,,,,,,
,,,,,,,,,,1,LT,2023-09-27_15h43.46.109,Motor_Task,2023.2.2,MacIntel,30.3030303,23.721,24.421,2,1,0.69,,0,7,7,7,1,8,M,,2,,,,,,,
,,,,,,,,,,1,LT,2023-09-27_15h43.46.109,Motor_Task,2023.2.2,MacIntel,30.3030303,24.421,25.321,4,1,0.871,,0,8,8,8,1,9,L,,4,,,,,,,
,,,,,,,,,,1,LT,2023-09-27_15h43.46.109,Motor_Task,2023.2.2,MacIntel,30.3030303,25.321,26.054,1,1,0.72,,0,9,9,9,1,10,I,,1,,,,,,,
,,,,,,,,,,1,LT,2023-09-27_15h43.46.109,Motor_Task,2023.2.2,MacIntel,30.3030303,26.054,26.654,2,1,0.588,,1,0,10,0,1,1,M,,2,,,,,,,
,,,,,,,,,,1,LT,2023-09-27_15h43.46.109,Motor_Task,2023.2.2,MacIntel,30.3030303,26.654,27.286,3,1,0.615,,1,1,11,1,1,2,R,,3,,,,,,,
,,,,,,,,,,1,LT,2023-09-27_15h43.46.109,Motor_Task,2023.2.2,MacIntel,30.3030303,27.287,27.887,2,1,0.572,,1,2,12,2,1,3,M,,2,,,,,,,
,,,,,,,,,,1,LT,2023-09-27_15h43.46.109,Motor_Task,2023.2.2,MacIntel,30.3030303,27.887,28.387,3,1,0.498,,1,3,13,3,1,4,R,,3,,,,,,,
