Trigger.started,Trigger.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,Session,Subject,date,expName,psychopyVersion,OS,frameRate,complex_block.started,complex_block.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,complex_block_loop.thisRepN,complex_block_loop.thisTrialN,complex_block_loop.thisN,complex_block_loop.thisIndex,complex_block_loop.ran,trial,finger,markerPos,correctResp,new_block_loop.thisRepN,new_block_loop.thisTrialN,new_block_loop.thisN,new_block_loop.thisIndex,new_block_loop.ran,endBuffer.started,endBuffer.stopped
0.0003,19.2875,space,19.2489,,-0.12569801,0.174817825,0,0,0,1,Lenae,2023-09-27_15h43.43.666,Motor_Task,2023.2.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,Lenae,2023-09-27_15h43.43.666,Motor_Task,2023.2.2,MacIntel,60.0024001,19.3135,20.1067,2,1,0.7915,,0,0,0,0,1,1,M,,2,,,,,,,
,,,,,,,,,,1,Lenae,2023-09-27_15h43.43.666,Motor_Task,2023.2.2,MacIntel,60.0024001,20.1076,20.6254,3,1,0.5172,,0,1,1,1,1,2,R,,3,,,,,,,
,,,,,,,,,,1,Lenae,2023-09-27_15h43.43.666,Motor_Task,2023.2.2,MacIntel,60.0024001,20.6257,21.356,2,1,0.7294,,0,2,2,2,1,3,M,,2,,,,,,,
,,,,,,,,,,1,Lenae,2023-09-27_15h43.43.666,Motor_Task,2023.2.2,MacIntel,60.0024001,21.3567,21.8422,3,1,0.4851,,0,3,3,3,1,4,R,,3,,,,,,,
,,,,,,,,,,1,Lenae,2023-09-27_15h43.43.666,Motor_Task,2023.2.2,MacIntel,60.0024001,21.8426,22.4395,1,1,0.5963,,0,4,4,4,1,5,I,,1,,,,,,,
,,,,,,,,,,1,Lenae,2023-09-27_15h43.43.666,Motor_Task,2023.2.2,MacIntel,60.0024001,22.4399,23.006,1,1,0.5655,,0,5,5,5,1,6,I,,1,,,,,,,
,,,,,,,,,,1,Lenae,2023-09-27_15h43.43.666,Motor_Task,2023.2.2,MacIntel,60.0024001,23.0064,23.5689,3,1,0.5615,,0,6,6,6,1,7,R,,3,,,,,,,
,,,,,,,,,,1,Lenae,2023-09-27_15h43.43.666,Motor_Task,2023.2.2,MacIntel,60.0024001,23.5692,24.0707,2,1,0.4939,,0,7,7,7,1,8,M,,2,,,,,,,
,,,,,,,,,,1,Lenae,2023-09-27_15h43.43.666,Motor_Task,2023.2.2,MacIntel,60.0024001,24.0712,24.674,4,1,0.6023,,0,8,8,8,1,9,L,,4,,,,,,,
