Trigger.started,Trigger.stopped,key_resp_4.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,Session,Subject,date,expName,psychopyVersion,OS,frameRate,complex_block.started,complex_block.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,complex_block_loop.thisRepN,complex_block_loop.thisTrialN,complex_block_loop.thisN,complex_block_loop.thisIndex,complex_block_loop.ran,trial,finger,markerPos,correctResp,new_block_loop.thisRepN,new_block_loop.thisTrialN,new_block_loop.thisN,new_block_loop.thisIndex,new_block_loop.ran,endBuffer.started,endBuffer.stopped
0,21.42,,-0.214444444,0.042222222,1,0,0,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,21.435,22.937,2,1,1.501,,0,0,0,0,1,1,M,,2,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,22.937,23.603,3,1,0.654,,0,1,1,1,1,2,R,,3,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,23.604,24.269,2,1,0.661,,0,2,2,2,1,3,M,,2,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,24.27,25.186,3,1,0.906,,0,3,3,3,1,4,R,,3,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,25.188,25.821,1,1,0.628,,0,4,4,4,1,5,I,,1,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,25.822,26.536,1,1,0.709,,0,5,5,5,1,6,I,,1,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,26.536,27.203,3,1,0.656,,0,6,6,6,1,7,R,,3,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,27.204,27.886,2,1,0.668,,0,7,7,7,1,8,M,,2,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,27.886,28.654,4,1,0.761,,0,8,8,8,1,9,L,,4,,,,,,,
