Trigger.started,Trigger.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,Session,Subject,date,expName,psychopyVersion,OS,frameRate,complex_block.started,complex_block.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,complex_block_loop.thisRepN,complex_block_loop.thisTrialN,complex_block_loop.thisN,complex_block_loop.thisIndex,complex_block_loop.ran,trial,finger,markerPos,correctResp,new_block_loop.thisRepN,new_block_loop.thisTrialN,new_block_loop.thisN,new_block_loop.thisIndex,new_block_loop.ran,endBuffer.started,endBuffer.stopped
0,19.299,1,19.277,,0.309572301,-0.5,0,0,0,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,19.316,20.04,2,1,0.721,,0,0,0,0,1,1,M,,2,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,20.041,20.541,3,1,0.498,,0,1,1,1,1,2,R,,3,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,20.541,21.14,2,1,0.596,,0,2,2,2,1,3,M,,2,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,21.141,21.625,3,1,0.483,,0,3,3,3,1,4,R,,3,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,21.626,22.251,1,1,0.624,,0,4,4,4,1,5,I,,1,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,22.251,22.775,1,1,0.519,,0,5,5,5,1,6,I,,1,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,22.776,23.307,3,1,0.528,,0,6,6,6,1,7,R,,3,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,23.307,23.791,2,1,0.479,,0,7,7,7,1,8,M,,2,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,23.792,24.282,3,0,0.487,,0,8,8,8,1,9,L,,4,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,24.283,24.549,4,0,0.264,,0,9,9,9,1,10,I,,1,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,24.549,25.239,2,1,0.687,,1,0,10,0,1,1,M,,2,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,25.24,25.841,3,1,0.595,,1,1,11,1,1,2,R,,3,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,25.842,26.482,2,1,0.637,,1,2,12,2,1,3,M,,2,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,26.482,26.931,3,1,0.447,,1,3,13,3,1,4,R,,3,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,26.932,27.507,1,1,0.571,,1,4,14,4,1,5,I,,1,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,27.507,28.056,1,1,0.546,,1,5,15,5,1,6,I,,1,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,28.057,28.589,3,1,0.529,,1,6,16,6,1,7,R,,3,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,28.59,29.132,2,1,0.538,,1,7,17,7,1,8,M,,2,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,29.134,29.707,4,1,0.573,,1,8,18,8,1,9,L,,4,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,29.708,30.315,1,1,0.605,,1,9,19,9,1,10,I,,1,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,30.315,30.824,2,1,0.507,,2,0,20,0,1,1,M,,2,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,30.824,31.341,3,1,0.517,,2,1,21,1,1,2,R,,3,,,,,,,
