Trigger.started,Trigger.stopped,key_resp_4.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,Session,Subject,date,expName,psychopyVersion,OS,frameRate,complex_block.started,complex_block.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,complex_block_loop.thisRepN,complex_block_loop.thisTrialN,complex_block_loop.thisN,complex_block_loop.thisIndex,complex_block_loop.ran,trial,finger,markerPos,correctResp
0.0001,6.3428,,0.035607639,-0.177673611,1,0,0,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,,,,,,,,,,,,,,,
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,6.3596,7.3579,2,1,0.9939,,0,0,0,0,1,1,M,,2
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,7.3588,7.9916,3,1,0.6289,,0,1,1,1,1,2,R,,3
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,7.9918,8.6905,2,1,0.688,,0,2,2,2,1,3,M,,2
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,8.6909,9.4758,3,1,0.7716,,0,3,3,3,1,4,R,,3
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,9.476,10.0755,1,1,0.5894,,0,4,4,4,1,5,I,,1
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,10.0758,10.6742,1,1,0.5881,,0,5,5,5,1,6,I,,1
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,10.6748,11.1927,3,1,0.5118,,0,6,6,6,1,7,R,,3
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,11.1929,11.6393,2,1,0.4383,,0,7,7,7,1,8,M,,2
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,11.6396,12.2411,4,1,0.593,,0,8,8,8,1,9,L,,4
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,12.2415,12.759,1,1,0.5069,,0,9,9,9,1,10,I,,1
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,12.7594,13.2587,2,1,0.4877,,1,0,10,0,1,1,M,,2
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,13.2591,13.7085,3,1,0.4397,,1,1,11,1,1,2,R,,3
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,13.7089,14.192,2,1,0.4811,,1,2,12,2,1,3,M,,2
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,14.1924,14.6913,3,1,0.486,,1,3,13,3,1,4,R,,3
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,14.6918,15.1763,1,1,0.4764,,1,4,14,4,1,5,I,,1
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,15.1766,15.7397,1,1,0.5541,,1,5,15,5,1,6,I,,1
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,15.74,16.2252,3,1,0.4735,,1,6,16,6,1,7,R,,3
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,16.2255,16.6089,2,1,0.3767,,1,7,17,7,1,8,M,,2
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,16.6098,17.1595,4,1,0.5391,,1,8,18,8,1,9,L,,4
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,17.1599,17.7089,1,1,0.5439,,1,9,19,9,1,10,I,,1
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,17.7094,18.2069,2,1,0.4891,,2,0,20,0,1,1,M,,2
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,18.2073,18.6074,3,1,0.3894,,2,1,21,1,1,2,R,,3
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,18.6077,19.0762,2,1,0.4572,,2,2,22,2,1,3,M,,2
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,19.0764,19.6083,3,1,0.5201,,2,3,23,3,1,4,R,,3
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,19.6088,20.0588,1,1,0.4456,,2,4,24,4,1,5,I,,1
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,20.059,20.5421,1,1,0.4697,,2,5,25,5,1,6,I,,1
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,20.5424,21.0557,3,1,0.5039,,2,6,26,6,1,7,R,,3
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,21.056,21.492,2,1,0.4292,,2,7,27,7,1,8,M,,2
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,21.4923,22.0084,4,1,0.5039,,2,8,28,8,1,9,L,,4
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,22.0087,22.5224,1,1,0.5041,,2,9,29,9,1,10,I,,1
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,22.5227,23.0722,2,1,0.5484,,3,0,30,0,1,1,M,,2
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,23.0724,23.5724,3,1,0.4917,,3,1,31,1,1,2,R,,3
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,23.5727,24.0582,2,1,0.4748,,3,2,32,2,1,3,M,,2
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,24.0587,24.4573,3,1,0.3896,,3,3,33,3,1,4,R,,3
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,24.4577,25.0251,1,1,0.5558,,3,4,34,4,1,5,I,,1
