Trigger.started,Trigger.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,Session,Subject,date,expName,psychopyVersion,OS,frameRate,complex_block.started,complex_block.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,complex_block_loop.thisRepN,complex_block_loop.thisTrialN,complex_block_loop.thisN,complex_block_loop.thisIndex,complex_block_loop.ran,trial,finger,markerPos,correctResp,new_block_loop.thisRepN,new_block_loop.thisTrialN,new_block_loop.thisN,new_block_loop.thisIndex,new_block_loop.ran,endBuffer.started,endBuffer.stopped
0,25.177,1,25.141,,-0.128157156,-0.305425631,0,0,0,1,Psych 279,2023-09-27_15h43.29.813,Motor_Task,2023.2.2,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,Psych 279,2023-09-27_15h43.29.813,Motor_Task,2023.2.2,MacIntel,62.5,25.192,25.844,2,1,0.638,,0,0,0,0,1,1,M,,2,,,,,,,
,,,,,,,,,,1,Psych 279,2023-09-27_15h43.29.813,Motor_Task,2023.2.2,MacIntel,62.5,25.845,26.46,3,1,0.605,,0,1,1,1,1,2,R,,3,,,,,,,
,,,,,,,,,,1,Psych 279,2023-09-27_15h43.29.813,Motor_Task,2023.2.2,MacIntel,62.5,26.46,27.093,2,1,0.627,,0,2,2,2,1,3,M,,2,,,,,,,
,,,,,,,,,,1,Psych 279,2023-09-27_15h43.29.813,Motor_Task,2023.2.2,MacIntel,62.5,27.093,27.66,3,1,0.556,,0,3,3,3,1,4,R,,3,,,,,,,
,,,,,,,,,,1,Psych 279,2023-09-27_15h43.29.813,Motor_Task,2023.2.2,MacIntel,62.5,27.66,28.243,1,1,0.57,,0,4,4,4,1,5,I,,1,,,,,,,
,,,,,,,,,,1,Psych 279,2023-09-27_15h43.29.813,Motor_Task,2023.2.2,MacIntel,62.5,28.243,28.76,1,1,0.508,,0,5,5,5,1,6,I,,1,,,,,,,
,,,,,,,,,,1,Psych 279,2023-09-27_15h43.29.813,Motor_Task,2023.2.2,MacIntel,62.5,28.76,29.343,3,1,0.577,,0,6,6,6,1,7,R,,3,,,,,,,
,,,,,,,,,,1,Psych 279,2023-09-27_15h43.29.813,Motor_Task,2023.2.2,MacIntel,62.5,29.343,29.893,2,1,0.537,,0,7,7,7,1,8,M,,2,,,,,,,
,,,,,,,,,,1,Psych 279,2023-09-27_15h43.29.813,Motor_Task,2023.2.2,MacIntel,62.5,29.894,30.476,4,1,0.57,,0,8,8,8,1,9,L,,4,,,,,,,
