Trigger.started,Trigger.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,Session,Subject,date,expName,psychopyVersion,OS,frameRate,complex_block.started,complex_block.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,complex_block_loop.thisRepN,complex_block_loop.thisTrialN,complex_block_loop.thisN,complex_block_loop.thisIndex,complex_block_loop.ran,trial,finger,markerPos,correctResp,new_block_loop.thisRepN,new_block_loop.thisTrialN,new_block_loop.thisN,new_block_loop.thisIndex,new_block_loop.ran,endBuffer.started,endBuffer.stopped
1E-04,13.7793,space,13.7336,,-0.075665509,-0.385222388,0,0,0,1,beth,2023-09-27_15h43.33.809,Motor_Task,2023.2.2,MacIntel,120.0048002,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,beth,2023-09-27_15h43.33.809,Motor_Task,2023.2.2,MacIntel,120.0048002,13.8003,14.5648,2,1,0.7627,,0,0,0,0,1,1,M,,2,,,,,,,
,,,,,,,,,,1,beth,2023-09-27_15h43.33.809,Motor_Task,2023.2.2,MacIntel,120.0048002,14.5655,15.2148,3,1,0.6464,,0,1,1,1,1,2,R,,3,,,,,,,
,,,,,,,,,,1,beth,2023-09-27_15h43.33.809,Motor_Task,2023.2.2,MacIntel,120.0048002,15.2153,15.8329,2,1,0.6119,,0,2,2,2,1,3,M,,2,,,,,,,
,,,,,,,,,,1,beth,2023-09-27_15h43.33.809,Motor_Task,2023.2.2,MacIntel,120.0048002,15.8334,16.3398,3,1,0.5029,,0,3,3,3,1,4,R,,3,,,,,,,
,,,,,,,,,,1,beth,2023-09-27_15h43.33.809,Motor_Task,2023.2.2,MacIntel,120.0048002,16.3404,16.8078,2,0,0.4647,,0,4,4,4,1,5,I,,1,,,,,,,
,,,,,,,,,,1,beth,2023-09-27_15h43.33.809,Motor_Task,2023.2.2,MacIntel,120.0048002,16.8086,17.3994,1,1,0.5881,,0,5,5,5,1,6,I,,1,,,,,,,
,,,,,,,,,,1,beth,2023-09-27_15h43.33.809,Motor_Task,2023.2.2,MacIntel,120.0048002,17.4003,18.2405,3,1,0.8366,,0,6,6,6,1,7,R,,3,,,,,,,
,,,,,,,,,,1,beth,2023-09-27_15h43.33.809,Motor_Task,2023.2.2,MacIntel,120.0048002,18.241,18.7989,2,1,0.5553,,0,7,7,7,1,8,M,,2,,,,,,,
,,,,,,,,,,1,beth,2023-09-27_15h43.33.809,Motor_Task,2023.2.2,MacIntel,120.0048002,18.8006,19.3491,4,1,0.5452,,0,8,8,8,1,9,L,,4,,,,,,,
,,,,,,,,,,1,beth,2023-09-27_15h43.33.809,Motor_Task,2023.2.2,MacIntel,120.0048002,19.3496,19.8902,1,1,0.5395,,0,9,9,9,1,10,I,,1,,,,,,,
,,,,,,,,,,1,beth,2023-09-27_15h43.33.809,Motor_Task,2023.2.2,MacIntel,120.0048002,19.8905,20.4237,2,1,0.5298,,1,0,10,0,1,1,M,,2,,,,,,,
,,,,,,,,,,1,beth,2023-09-27_15h43.33.809,Motor_Task,2023.2.2,MacIntel,120.0048002,20.4242,20.8818,3,1,0.4559,,1,1,11,1,1,2,R,,3,,,,,,,
,,,,,,,,,,1,beth,2023-09-27_15h43.33.809,Motor_Task,2023.2.2,MacIntel,120.0048002,20.883,21.482,2,1,0.5952,,1,2,12,2,1,3,M,,2,,,,,,,
,,,,,,,,,,1,beth,2023-09-27_15h43.33.809,Motor_Task,2023.2.2,MacIntel,120.0048002,21.4826,22.257,3,1,0.7709,,1,3,13,3,1,4,R,,3,,,,,,,
,,,,,,,,,,1,beth,2023-09-27_15h43.33.809,Motor_Task,2023.2.2,MacIntel,120.0048002,22.2577,22.7819,1,1,0.5221,,1,4,14,4,1,5,I,,1,,,,,,,
,,,,,,,,,,1,beth,2023-09-27_15h43.33.809,Motor_Task,2023.2.2,MacIntel,120.0048002,22.7825,23.3315,1,1,0.5473,,1,5,15,5,1,6,I,,1,,,,,,,
,,,,,,,,,,1,beth,2023-09-27_15h43.33.809,Motor_Task,2023.2.2,MacIntel,120.0048002,23.332,23.8809,3,1,0.5459,,1,6,16,6,1,7,R,,3,,,,,,,
,,,,,,,,,,1,beth,2023-09-27_15h43.33.809,Motor_Task,2023.2.2,MacIntel,120.0048002,23.8811,24.4073,2,1,0.5251,,1,7,17,7,1,8,M,,2,,,,,,,
,,,,,,,,,,1,beth,2023-09-27_15h43.33.809,Motor_Task,2023.2.2,MacIntel,120.0048002,24.4088,25.1644,4,1,0.7552,,1,8,18,8,1,9,L,,4,,,,,,,
,,,,,,,,,,1,beth,2023-09-27_15h43.33.809,Motor_Task,2023.2.2,MacIntel,120.0048002,25.1649,25.7914,1,1,0.6207,,1,9,19,9,1,10,I,,1,,,,,,,
,,,,,,,,,,1,beth,2023-09-27_15h43.33.809,Motor_Task,2023.2.2,MacIntel,120.0048002,25.7918,26.4066,2,1,0.6118,,2,0,20,0,1,1,M,,2,,,,,,,
,,,,,,,,,,1,beth,2023-09-27_15h43.33.809,Motor_Task,2023.2.2,MacIntel,120.0048002,26.407,26.8656,3,1,0.4535,,2,1,21,1,1,2,R,,3,,,,,,,
,,,,,,,,,,1,beth,2023-09-27_15h43.33.809,Motor_Task,2023.2.2,MacIntel,120.0048002,26.8661,27.6748,2,1,0.8037,,2,2,22,2,1,3,M,,2,,,,,,,
,,,,,,,,,,1,beth,2023-09-27_15h43.33.809,Motor_Task,2023.2.2,MacIntel,120.0048002,27.6751,28.2406,3,1,0.5598,,2,3,23,3,1,4,R,,3,,,,,,,
,,,,,,,,,,1,beth,2023-09-27_15h43.33.809,Motor_Task,2023.2.2,MacIntel,120.0048002,28.2412,28.7825,1,1,0.5354,,2,4,24,4,1,5,I,,1,,,,,,,
,,,,,,,,,,1,beth,2023-09-27_15h43.33.809,Motor_Task,2023.2.2,MacIntel,120.0048002,28.783,29.315,1,1,0.5287,,2,5,25,5,1,6,I,,1,,,,,,,
,,,,,,,,,,1,beth,2023-09-27_15h43.33.809,Motor_Task,2023.2.2,MacIntel,120.0048002,29.3157,29.8486,3,1,0.5311,,2,6,26,6,1,7,R,,3,,,,,,,
,,,,,,,,,,1,beth,2023-09-27_15h43.33.809,Motor_Task,2023.2.2,MacIntel,120.0048002,29.8492,30.3651,2,1,0.5144,,2,7,27,7,1,8,M,,2,,,,,,,
,,,,,,,,,,1,beth,2023-09-27_15h43.33.809,Motor_Task,2023.2.2,MacIntel,120.0048002,30.3656,31.0395,4,1,0.6706,,2,8,28,8,1,9,L,,4,,,,,,,
,,,,,,,,,,1,beth,2023-09-27_15h43.33.809,Motor_Task,2023.2.2,MacIntel,120.0048002,31.0401,31.5239,1,1,0.4834,,2,9,29,9,1,10,I,,1,,,,,,,
,,,,,,,,,,1,beth,2023-09-27_15h43.33.809,Motor_Task,2023.2.2,MacIntel,120.0048002,31.5244,32.1395,2,1,0.6131,,3,0,30,0,1,1,M,,2,,,,,,,
,,,,,,,,,,1,beth,2023-09-27_15h43.33.809,Motor_Task,2023.2.2,MacIntel,120.0048002,32.1401,32.6054,3,1,0.4645,,3,1,31,1,1,2,R,,3,,,,,,,
,,,,,,,,,,1,beth,2023-09-27_15h43.33.809,Motor_Task,2023.2.2,MacIntel,120.0048002,32.606,33.1474,2,1,0.5384,,3,2,32,2,1,3,M,,2,,,,,,,
,,,,,,,,,,1,beth,2023-09-27_15h43.33.809,Motor_Task,2023.2.2,MacIntel,120.0048002,33.1479,33.7228,3,1,0.5743,,3,3,33,3,1,4,R,,3,,,,,,,
,,,,,,,,,,1,beth,2023-09-27_15h43.33.809,Motor_Task,2023.2.2,MacIntel,120.0048002,33.7234,34.2824,1,1,0.5541,,3,4,34,4,1,5,I,,1,,,,,,,
,,,,,,,,,,1,beth,2023-09-27_15h43.33.809,Motor_Task,2023.2.2,MacIntel,120.0048002,34.2838,35.0059,1,1,0.7211,,3,5,35,5,1,6,I,,1,,,,,,,
,,,,,,,,,,1,beth,2023-09-27_15h43.33.809,Motor_Task,2023.2.2,MacIntel,120.0048002,35.0065,35.5816,4,0,0.573,,3,6,36,6,1,7,R,,3,,,,,,,
,,,,,,,,,,1,beth,2023-09-27_15h43.33.809,Motor_Task,2023.2.2,MacIntel,120.0048002,35.582,36.5485,2,1,0.9654,,3,7,37,7,1,8,M,,2,,,,,,,
,,,,,,,,,,1,beth,2023-09-27_15h43.33.809,Motor_Task,2023.2.2,MacIntel,120.0048002,36.549,37.1485,4,1,0.5952,,3,8,38,8,1,9,L,,4,,,,,,,
,,,,,,,,,,1,beth,2023-09-27_15h43.33.809,Motor_Task,2023.2.2,MacIntel,120.0048002,37.149,37.6651,1,1,0.5144,,3,9,39,9,1,10,I,,1,,,,,,,
