Trigger.started,Trigger.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,Session,Subject,date,expName,psychopyVersion,OS,frameRate,complex_block.started,complex_block.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,complex_block_loop.thisRepN,complex_block_loop.thisTrialN,complex_block_loop.thisN,complex_block_loop.thisIndex,complex_block_loop.ran,trial,finger,markerPos,correctResp,new_block_loop.thisRepN,new_block_loop.thisTrialN,new_block_loop.thisN,new_block_loop.thisIndex,new_block_loop.ran,endBuffer.started,endBuffer.stopped
0.001,12.08,1,12.059,,-0.146031746,-0.221693122,0,0,0,1,ml,2023-09-27_15h43.39.213,Motor_Task,2023.2.2,MacIntel,71.42857143,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,ml,2023-09-27_15h43.39.213,Motor_Task,2023.2.2,MacIntel,71.42857143,12.097,12.82,2,1,0.711,,0,0,0,0,1,1,M,,2,,,,,,,
,,,,,,,,,,1,ml,2023-09-27_15h43.39.213,Motor_Task,2023.2.2,MacIntel,71.42857143,12.821,13.485,3,1,0.662,,0,1,1,1,1,2,R,,3,,,,,,,
,,,,,,,,,,1,ml,2023-09-27_15h43.39.213,Motor_Task,2023.2.2,MacIntel,71.42857143,13.486,14.086,2,1,0.593,,0,2,2,2,1,3,M,,2,,,,,,,
,,,,,,,,,,1,ml,2023-09-27_15h43.39.213,Motor_Task,2023.2.2,MacIntel,71.42857143,14.086,14.519,3,1,0.422,,0,3,3,3,1,4,R,,3,,,,,,,
,,,,,,,,,,1,ml,2023-09-27_15h43.39.213,Motor_Task,2023.2.2,MacIntel,71.42857143,14.52,15.112,1,1,0.582,,0,4,4,4,1,5,I,,1,,,,,,,
,,,,,,,,,,1,ml,2023-09-27_15h43.39.213,Motor_Task,2023.2.2,MacIntel,71.42857143,15.113,15.731,1,1,0.609,,0,5,5,5,1,6,I,,1,,,,,,,
,,,,,,,,,,1,ml,2023-09-27_15h43.39.213,Motor_Task,2023.2.2,MacIntel,71.42857143,15.732,16.323,3,1,0.584,,0,6,6,6,1,7,R,,3,,,,,,,
,,,,,,,,,,1,ml,2023-09-27_15h43.39.213,Motor_Task,2023.2.2,MacIntel,71.42857143,16.324,16.799,2,1,0.474,,0,7,7,7,1,8,M,,2,,,,,,,
,,,,,,,,,,1,ml,2023-09-27_15h43.39.213,Motor_Task,2023.2.2,MacIntel,71.42857143,16.799,17.369,4,1,0.565,,0,8,8,8,1,9,L,,4,,,,,,,
,,,,,,,,,,1,ml,2023-09-27_15h43.39.213,Motor_Task,2023.2.2,MacIntel,71.42857143,17.369,17.815,1,1,0.444,,0,9,9,9,1,10,I,,1,,,,,,,
,,,,,,,,,,1,ml,2023-09-27_15h43.39.213,Motor_Task,2023.2.2,MacIntel,71.42857143,17.815,18.277,2,1,0.453,,1,0,10,0,1,1,M,,2,,,,,,,
,,,,,,,,,,1,ml,2023-09-27_15h43.39.213,Motor_Task,2023.2.2,MacIntel,71.42857143,18.277,18.665,3,1,0.383,,1,1,11,1,1,2,R,,3,,,,,,,
