Trigger.started,Trigger.stopped,key_resp_4.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,Session,Subject,date,expName,psychopyVersion,OS,frameRate,complex_block.started,complex_block.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,complex_block_loop.thisRepN,complex_block_loop.thisTrialN,complex_block_loop.thisN,complex_block_loop.thisIndex,complex_block_loop.ran,trial,finger,markerPos,correctResp,new_block_loop.thisRepN,new_block_loop.thisTrialN,new_block_loop.thisN,new_block_loop.thisIndex,new_block_loop.ran,endBuffer.started,endBuffer.stopped
0.0004,15.8595,,-0.128027479,-0.341722548,1,0,0,1,r,2023-09-27_15h43.59.440,Motor_Task,2023.2.2,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,r,2023-09-27_15h43.59.440,Motor_Task,2023.2.2,MacIntel,60.04202942,15.8875,16.8129,2,1,0.9133,,0,0,0,0,1,1,M,,2,,,,,,,
,,,,,,,,1,r,2023-09-27_15h43.59.440,Motor_Task,2023.2.2,MacIntel,60.04202942,16.8136,17.4264,3,1,0.6003,,0,1,1,1,1,2,R,,3,,,,,,,
,,,,,,,,1,r,2023-09-27_15h43.59.440,Motor_Task,2023.2.2,MacIntel,60.04202942,17.4268,18.0577,2,1,0.6298,,0,2,2,2,1,3,M,,2,,,,,,,
,,,,,,,,1,r,2023-09-27_15h43.59.440,Motor_Task,2023.2.2,MacIntel,60.04202942,18.0581,18.7112,3,1,0.6462,,0,3,3,3,1,4,R,,3,,,,,,,
,,,,,,,,1,r,2023-09-27_15h43.59.440,Motor_Task,2023.2.2,MacIntel,60.04202942,18.7115,19.3572,1,1,0.645,,0,4,4,4,1,5,I,,1,,,,,,,
,,,,,,,,1,r,2023-09-27_15h43.59.440,Motor_Task,2023.2.2,MacIntel,60.04202942,19.3575,19.9593,1,1,0.601,,0,5,5,5,1,6,I,,1,,,,,,,
,,,,,,,,1,r,2023-09-27_15h43.59.440,Motor_Task,2023.2.2,MacIntel,60.04202942,19.9598,20.9733,3,1,1.0132,,0,6,6,6,1,7,R,,3,,,,,,,
,,,,,,,,1,r,2023-09-27_15h43.59.440,Motor_Task,2023.2.2,MacIntel,60.04202942,20.9735,21.9228,2,1,0.9428,,0,7,7,7,1,8,M,,2,,,,,,,
,,,,,,,,1,r,2023-09-27_15h43.59.440,Motor_Task,2023.2.2,MacIntel,60.04202942,21.9231,22.5727,4,1,0.6455,,0,8,8,8,1,9,L,,4,,,,,,,
,,,,,,,,1,r,2023-09-27_15h43.59.440,Motor_Task,2023.2.2,MacIntel,60.04202942,22.5733,23.1392,1,1,0.5618,,0,9,9,9,1,10,I,,1,,,,,,,
,,,,,,,,1,r,2023-09-27_15h43.59.440,Motor_Task,2023.2.2,MacIntel,60.04202942,23.1396,23.7891,2,1,0.6442,,1,0,10,0,1,1,M,,2,,,,,,,
,,,,,,,,1,r,2023-09-27_15h43.59.440,Motor_Task,2023.2.2,MacIntel,60.04202942,23.7896,25.4563,3,1,1.6587,,1,1,11,1,1,2,R,,3,,,,,,,
,,,,,,,,1,r,2023-09-27_15h43.59.440,Motor_Task,2023.2.2,MacIntel,60.04202942,25.4569,26.3361,2,1,0.8727,,1,2,12,2,1,3,M,,2,,,,,,,
,,,,,,,,1,r,2023-09-27_15h43.59.440,Motor_Task,2023.2.2,MacIntel,60.04202942,26.3367,27.3022,3,1,0.9617,,1,3,13,3,1,4,R,,3,,,,,,,
,,,,,,,,1,r,2023-09-27_15h43.59.440,Motor_Task,2023.2.2,MacIntel,60.04202942,27.3027,28.3685,1,1,1.0641,,1,4,14,4,1,5,I,,1,,,,,,,
,,,,,,,,1,r,2023-09-27_15h43.59.440,Motor_Task,2023.2.2,MacIntel,60.04202942,28.3688,28.9685,1,1,0.5915,,1,5,15,5,1,6,I,,1,,,,,,,
,,,,,,,,1,r,2023-09-27_15h43.59.440,Motor_Task,2023.2.2,MacIntel,60.04202942,28.9689,29.7001,3,1,0.7287,,1,6,16,6,1,7,R,,3,,,,,,,
,,,,,,,,1,r,2023-09-27_15h43.59.440,Motor_Task,2023.2.2,MacIntel,60.04202942,29.7005,30.4189,2,1,0.7133,,1,7,17,7,1,8,M,,2,,,,,,,
,,,,,,,,1,r,2023-09-27_15h43.59.440,Motor_Task,2023.2.2,MacIntel,60.04202942,30.4194,31.5021,4,1,1.0779,,1,8,18,8,1,9,L,,4,,,,,,,
,,,,,,,,1,r,2023-09-27_15h43.59.440,Motor_Task,2023.2.2,MacIntel,60.04202942,31.5023,32.3493,1,1,0.8466,,1,9,19,9,1,10,I,,1,,,,,,,
,,,,,,,,1,r,2023-09-27_15h43.59.440,Motor_Task,2023.2.2,MacIntel,60.04202942,32.3496,33.0331,2,1,0.6726,,2,0,20,0,1,1,M,,2,,,,,,,
,,,,,,,,1,r,2023-09-27_15h43.59.440,Motor_Task,2023.2.2,MacIntel,60.04202942,33.0338,33.699,3,1,0.6646,,2,1,21,1,1,2,R,,3,,,,,,,
,,,,,,,,1,r,2023-09-27_15h43.59.440,Motor_Task,2023.2.2,MacIntel,60.04202942,33.6995,34.4484,2,1,0.738,,2,2,22,2,1,3,M,,2,,,,,,,
,,,,,,,,1,r,2023-09-27_15h43.59.440,Motor_Task,2023.2.2,MacIntel,60.04202942,34.449,35.2148,3,1,0.7595,,2,3,23,3,1,4,R,,3,,,,,,,
,,,,,,,,1,r,2023-09-27_15h43.59.440,Motor_Task,2023.2.2,MacIntel,60.04202942,35.2152,35.8825,1,1,0.659,,2,4,24,4,1,5,I,,1,,,,,,,
,,,,,,,,1,r,2023-09-27_15h43.59.440,Motor_Task,2023.2.2,MacIntel,60.04202942,35.8832,36.4799,1,1,0.5922,,2,5,25,5,1,6,I,,1,,,,,,,
,,,,,,,,1,r,2023-09-27_15h43.59.440,Motor_Task,2023.2.2,MacIntel,60.04202942,36.4803,37.1987,3,1,0.7069,,2,6,26,6,1,7,R,,3,,,,,,,
,,,,,,,,1,r,2023-09-27_15h43.59.440,Motor_Task,2023.2.2,MacIntel,60.04202942,37.1993,37.8795,2,1,0.6733,,2,7,27,7,1,8,M,,2,,,,,,,
,,,,,,,,1,r,2023-09-27_15h43.59.440,Motor_Task,2023.2.2,MacIntel,60.04202942,37.88,38.5788,4,1,0.6947,,2,8,28,8,1,9,L,,4,,,,,,,
,,,,,,,,1,r,2023-09-27_15h43.59.440,Motor_Task,2023.2.2,MacIntel,60.04202942,38.5792,39.2139,1,1,0.6338,,2,9,29,9,1,10,I,,1,,,,,,,
,,,,,,,,1,r,2023-09-27_15h43.59.440,Motor_Task,2023.2.2,MacIntel,60.04202942,39.2143,39.8455,2,1,0.6213,,3,0,30,0,1,1,M,,2,,,,,,,
,,,,,,,,1,r,2023-09-27_15h43.59.440,Motor_Task,2023.2.2,MacIntel,60.04202942,39.8461,40.4794,3,1,0.6328,,3,1,31,1,1,2,R,,3,,,,,,,
,,,,,,,,1,r,2023-09-27_15h43.59.440,Motor_Task,2023.2.2,MacIntel,60.04202942,40.4797,41.1275,2,1,0.646,,3,2,32,2,1,3,M,,2,,,,,,,
,,,,,,,,1,r,2023-09-27_15h43.59.440,Motor_Task,2023.2.2,MacIntel,60.04202942,41.1277,41.7949,3,1,0.6622,,3,3,33,3,1,4,R,,3,,,,,,,
,,,,,,,,1,r,2023-09-27_15h43.59.440,Motor_Task,2023.2.2,MacIntel,60.04202942,41.7954,42.395,1,1,0.5876,,3,4,34,4,1,5,I,,1,,,,,,,
,,,,,,,,1,r,2023-09-27_15h43.59.440,Motor_Task,2023.2.2,MacIntel,60.04202942,42.3957,42.9768,1,1,0.5804,,3,5,35,5,1,6,I,,1,,,,,,,
,,,,,,,,1,r,2023-09-27_15h43.59.440,Motor_Task,2023.2.2,MacIntel,60.04202942,42.9772,43.6268,3,1,0.6369,,3,6,36,6,1,7,R,,3,,,,,,,
,,,,,,,,1,r,2023-09-27_15h43.59.440,Motor_Task,2023.2.2,MacIntel,60.04202942,43.6274,44.1909,2,1,0.5537,,3,7,37,7,1,8,M,,2,,,,,,,
,,,,,,,,1,r,2023-09-27_15h43.59.440,Motor_Task,2023.2.2,MacIntel,60.04202942,44.1914,44.8417,4,1,0.6433,,3,8,38,8,1,9,L,,4,,,,,,,
,,,,,,,,1,r,2023-09-27_15h43.59.440,Motor_Task,2023.2.2,MacIntel,60.04202942,44.842,45.5093,1,1,0.6535,,3,9,39,9,1,10,I,,1,,,,,,,
,,,,,,,,1,r,2023-09-27_15h43.59.440,Motor_Task,2023.2.2,MacIntel,60.04202942,45.5096,46.0586,2,1,0.5378,,4,0,40,0,1,1,M,,2,,,,,,,
,,,,,,,,1,r,2023-09-27_15h43.59.440,Motor_Task,2023.2.2,MacIntel,60.04202942,46.059,46.5913,3,1,0.5214,,4,1,41,1,1,2,R,,3,,,,,,,
,,,,,,,,1,r,2023-09-27_15h43.59.440,Motor_Task,2023.2.2,MacIntel,60.04202942,46.5919,47.2056,2,1,0.6131,,4,2,42,2,1,3,M,,2,,,,,,,
,,,,,,,,1,r,2023-09-27_15h43.59.440,Motor_Task,2023.2.2,MacIntel,60.04202942,47.206,47.7911,2,0,0.5742,,4,3,43,3,1,4,R,,3,,,,,,,
,,,,,,,,1,r,2023-09-27_15h43.59.440,Motor_Task,2023.2.2,MacIntel,60.04202942,47.7915,48.4382,1,1,0.639,,4,4,44,4,1,5,I,,1,,,,,,,
,,,,,,,,1,r,2023-09-27_15h43.59.440,Motor_Task,2023.2.2,MacIntel,60.04202942,48.4385,48.989,1,1,0.542,,4,5,45,5,1,6,I,,1,,,,,,,
,,,,,,,,1,r,2023-09-27_15h43.59.440,Motor_Task,2023.2.2,MacIntel,60.04202942,48.9893,49.7047,3,1,0.7078,,4,6,46,6,1,7,R,,3,,,,,,,
,,,,,,,,1,r,2023-09-27_15h43.59.440,Motor_Task,2023.2.2,MacIntel,60.04202942,49.705,50.356,2,1,0.6397,,4,7,47,7,1,8,M,,2,,,,,,,
,,,,,,,,1,r,2023-09-27_15h43.59.440,Motor_Task,2023.2.2,MacIntel,60.04202942,50.3564,51.1198,4,1,0.7575,,4,8,48,8,1,9,L,,4,,,,,,,
,,,,,,,,1,r,2023-09-27_15h43.59.440,Motor_Task,2023.2.2,MacIntel,60.04202942,51.1204,51.7202,1,1,0.594,,4,9,49,9,1,10,I,,1,,,,,,,
,,,,,,,,1,r,2023-09-27_15h43.59.440,Motor_Task,2023.2.2,MacIntel,60.04202942,51.7209,52.3536,2,1,0.6261,,5,0,50,0,1,1,M,,2,,,,,,,
,,,,,,,,1,r,2023-09-27_15h43.59.440,Motor_Task,2023.2.2,MacIntel,60.04202942,52.3539,52.9187,3,1,0.5595,,5,1,51,1,1,2,R,,3,,,,,,,
,,,,,,,,1,r,2023-09-27_15h43.59.440,Motor_Task,2023.2.2,MacIntel,60.04202942,52.9192,53.552,2,1,0.6288,,5,2,52,2,1,3,M,,2,,,,,,,
,,,,,,,,1,r,2023-09-27_15h43.59.440,Motor_Task,2023.2.2,MacIntel,60.04202942,53.5524,54.2021,3,1,0.6438,,5,3,53,3,1,4,R,,3,,,,,,,
,,,,,,,,1,r,2023-09-27_15h43.59.440,Motor_Task,2023.2.2,MacIntel,60.04202942,54.2028,54.868,1,1,0.6619,,5,4,54,4,1,5,I,,1,,,,,,,
,,,,,,,,1,r,2023-09-27_15h43.59.440,Motor_Task,2023.2.2,MacIntel,60.04202942,54.8689,55.4512,1,1,0.578,,5,5,55,5,1,6,I,,1,,,,,,,
,,,,,,,,1,r,2023-09-27_15h43.59.440,Motor_Task,2023.2.2,MacIntel,60.04202942,55.4516,56.0872,3,1,0.6352,,5,6,56,6,1,7,R,,3,,,,,,,
,,,,,,,,1,r,2023-09-27_15h43.59.440,Motor_Task,2023.2.2,MacIntel,60.04202942,56.0876,56.7019,2,1,0.6094,,5,7,57,7,1,8,M,,2,,,,,,,
,,,,,,,,1,r,2023-09-27_15h43.59.440,Motor_Task,2023.2.2,MacIntel,60.04202942,56.7022,57.3335,4,1,0.625,,5,8,58,8,1,9,L,,4,,,,,,,
,,,,,,,,1,r,2023-09-27_15h43.59.440,Motor_Task,2023.2.2,MacIntel,60.04202942,57.3341,57.9166,1,1,0.5786,,5,9,59,9,1,10,I,,1,,,,,,,
,,,,,,,,1,r,2023-09-27_15h43.59.440,Motor_Task,2023.2.2,MacIntel,60.04202942,57.9171,58.532,2,1,0.6144,,6,0,60,0,1,1,M,,2,,,,,,,
